PM25,O3,WS,TEMP,RH,WD
17.5,1.0,1,31.0,64.0,198.0
11.7,8.0,1,30.0,65.0,182.0
12.5,1.0,1,31.0,64.0,166.0
12.8,11.479813664596273,2,30.0,69.0,133.0
14.7,4.0,2,29.0,71.0,133.0
15.7,13.208916033332045,1,29.0,75.0,124.0
18.6,8.0,1,28.0,77.0,120.0
17.8,6.0,1,28.0,80.0,110.0
13.2,14.0,1,28.0,82.0,109.0
15.5,22.0,1,28.0,79.0,129.0
11.0,16.0,2,28.0,78.0,128.0
20.3,3.0,1,28.0,79.0,122.0
13.7,12.0,1,27.0,79.0,123.0
15.7,1.0,1,27.0,80.0,116.0
12.4,11.479813664596273,1,27.0,84.0,109.0
13.9,11.479813664596273,1,26.0,87.0,107.0
13.7,11.479813664596273,1,26.0,89.0,107.0
16.8,5.0,1,26.0,90.0,106.0
21.0,2.0,1,27.0,84.0,114.0
19.0,11.479813664596273,1,28.0,78.0,123.0
13.9,11.479813664596273,1,29.0,71.0,131.0
16.6,11.479813664596273,1,31.0,63.0,162.0
10.5,2.0,1,31.0,60.0,143.0
12.5,11.0,1,32.0,57.0,168.0
10.8,4.0,1,32.0,54.0,171.0
13.2,10.0,1,32.0,55.0,163.0
10.9,8.0,1,32.0,57.0,170.0
8.9,6.0,1,31.0,61.0,163.0
9.1,9.0,1,29.0,68.0,188.0
15.8,6.0,1,28.0,73.0,190.0
16.7,13.208916033332045,1,28.0,75.0,190.0
16.0,6.0,1,28.0,76.0,163.0
12.4,11.479813664596273,1,28.0,76.0,129.0
17.5,11.479813664596273,1,28.0,77.0,134.0
15.6,2.0,1,28.0,78.0,119.0
16.0,2.0,1,27.0,79.0,118.0
12.2,11.479813664596273,1,27.0,80.0,110.0
13.7,5.0,1,27.0,81.0,105.0
11.1,11.479813664596273,1,27.0,83.0,102.0
13.2,11.479813664596273,1,26.0,86.0,99.0
15.9,3.0,1,26.0,87.0,102.0
18.1,5.0,0,26.0,86.0,104.0
16.7,2.0,1,27.0,85.0,107.0
25.5,2.0,1,29.0,73.0,114.0
16.8,11.479813664596273,1,30.0,62.0,146.0
13.8,11.479813664596273,1,31.0,58.0,141.0
11.9,7.0,1,32.0,56.0,150.0
17.0,2.0,1,32.0,54.0,143.0
17.0,2.0,1,32.0,53.0,138.0
13.2,14.0,1,32.0,54.0,166.0
11.1,2.0,1,31.0,59.0,204.0
9.7,1.0,1,30.0,63.0,199.0
14.8,20.0,1,29.0,69.0,139.0
20.0,9.0,1,28.0,72.0,145.0
18.3,7.0,1,28.0,74.0,171.0
16.7,13.208916033332045,1,28.0,74.0,137.0
13.6,11.479813664596273,1,28.0,74.0,134.0
14.9,11.479813664596273,1,28.0,75.0,131.0
13.1,12.0,1,27.0,78.0,101.0
13.5,2.0,0,27.0,79.0,106.0
20.2,11.0,1,27.0,79.0,97.0
14.7,9.0,0,26.0,83.0,106.0
13.0,6.0,0,26.0,86.0,110.0
13.7,3.0,0,25.0,87.0,106.0
16.9,11.479813664596273,0,25.0,89.0,106.0
27.1,11.479813664596273,0,25.0,90.0,109.0
30.5,1.0,0,25.0,88.0,109.0
22.6,1.0,1,28.0,75.0,122.0
18.3,2.0,1,29.0,65.0,160.0
12.5,3.0,0,31.0,57.0,138.0
13.9,5.0,1,31.0,57.0,141.0
14.5,13.0,1,32.0,54.0,174.0
15.7,8.0,0,32.0,51.0,137.0
18.4,27.0,1,32.0,51.0,143.0
16.5,29.0,1,31.0,55.0,165.0
18.9,28.0,1,30.0,61.0,141.0
